user_idx,subscription_type,cart_discount_price,order_shipping_price,order_total_price,paid_date
f5fc6b351d013d6e62e9bf2fce10c18e645ca24587719f615642992037b52d9a,구독,5100,3000,12900,2020-10-06
91a65064947f1d55de3afcb9949aefff865938fa77acb13d6cd221030b1f5eab,구독,0,3000,18000,2020-10-13
448ec3fee712e83e9aae337320c3d706d05e99c4e6c30e9297ca1cbba060ee44,구독,0,3000,18000,2020-10-09
d6d08b964a113828284ad9d559f584c136417a01475fe974208449a473e6e68c,구독,5100,3000,12900,2020-10-06
fbecd095f909ca5bfa75e82e2a0cff0113789b45f6a71a70bcfb13659c409be9,구독,5100,3000,12900,2020-10-08
641c225a6bbd060f40849fe77dbe380132b34c14e7d8512b62770de42786a3eb,구독,0,3000,18000,2020-10-19
d4e78adbc568e188f6e36665edec9d38712d625ab201c397beda3e8edef44e14,구독,5100,3000,12900,2020-10-06
61172fa2a5d313525d2417efb1da2b1bfb687e109bd160c3f454dc6c806316cc,구독,0,3000,18000,2020-10-17
ed3c7562e75c37d1b952d706b851611da7c3e30027ca2735a642c720a86e5f14,구독,0,3000,18000,2020-10-06
5e9a9741b837782f3b4846b3d73c005d5514df191ad69cb76f1ed87d22a3f806,구독,5100,3000,12900,2020-10-07
c691accdfee05f5eb75eaa570c6d52d6f641f06fa03d0994d47b8d666a66707e,구독,15000,0,0,2020-09-09
37843d975967ee482d022e741cd729fb7e51c878ba5c1aa387a6afb3b60353e6,구독,5100,3000,12900,2020-10-04
96edc4e7856aeaea2fc4c0535693f92bd8ad088fe4c6e9440f328365d6443846,구독,5100,3000,12900,2020-09-30
46cc3c4ca15ff9013d66372fc9fdb26b7860943d5bb7efb181296eecd9b8e91d,구독,5100,3000,12900,2020-09-23
856c376e20d26f67def3df89d156b1d58060e88fca2590f3e0ee993df680f608,구독,0,3000,18000,2020-10-02
d6d08b964a113828284ad9d559f584c136417a01475fe974208449a473e6e68c,구독,5100,3000,12900,2020-09-23
905ea1d6bbe2b533b04fec03203e49451b86e063d45c192eb6cc878e9a6a12be,구독,5100,3000,12900,2020-09-28
e711825b4ec660195ca622d455ec9d1407ed9de3160d810c3cf6d12ff2f29265,구독,0,3000,18000,2020-10-05
916aba04dd12424e6e5b1575cbbb9e6c16ab53d8706a07b7f59a01d72483efa7,구독,0,3000,18000,2020-09-24
d50856c2d40fc9f3fc08564ba36044eecbb896c4e951df7a51615adb7b397851,구독,0,3000,18000,2020-10-06
95ce9a79d9083a339c3916ec59efc18919fea0644fafd572e8be77e1cf1dcf66,구독,0,3000,18000,2020-10-03
501575c8ab328c8b439ef708ed6798dea7ac4df429daf244410487bbe30fc83d,구독,5100,3000,12900,2020-10-05
83c83d5dd3ad636bf666d49e2748e467c88ae1f4a30256400bd8cd7eca34d9ee,구독,0,3000,18000,2020-09-25
819babc0615f00b45ffc97e0f2ddef60c75bd9dae7fea1c0c7077f93e35eb6b0,구독,0,3000,18000,2020-10-03
3e6701d699bdc9bd9d2f2c8074c22616d8682f5e027b70f79e981d9db1c116cd,구독,5100,3000,12900,2020-10-06
96023a3586e67cb26810fb305a643fd8672f93c99762cec37f76bdd86128f9fc,구독,5100,3000,12900,2020-10-02
b77a152740803798ec1873ef0137779c7c706b0064dd6fbca211322d9bda4bab,구독,5100,3000,12900,2020-09-23
65e67017304ffdf2b205d861b98b142a8d204f5768e7a304ca87cac6b2e8cbd9,구독,5100,3000,12900,2020-10-04
be67052c13399bc1be40665eb346f247078e3a3b7fceadd299c161a00ac0f84e,구독,0,3000,18000,2020-10-08
4e4618c1d46f5095a6c70c38a1b95a0a40ed36ab98f8bd4a2ce330410489f7b2,구독,5100,3000,12900,2020-09-23
8cdc31a4e75d890d579447a4a4eb74ad3c8267ef5ece64eb6845093b020950e7,구독,0,3000,18000,2020-10-05
9bd0341fff5661335d6519397389ef44ef2cfa4c1ef162fcb481a62698a222f7,구독,5100,3000,12900,2020-10-06
8dab56fe60de5bdd56a7a342b69baf1714e0cf481876ca508bea430f72ed017f,구독,5100,3000,12900,2020-10-06
869eaeb8a9ed44debbc3ed48d44e0608d94aaa5825f80642925d4daa1a05f715,구독,5100,3000,12900,2020-09-28
f3861ba7be53502148199a9a60d57390f04a14ea662949536289a43a9a8696af,구독,5100,3000,12900,2020-10-05
9b5866696db3432a832e981c18a6e33d6fbf26284671d001a6de27eeff1daf8a,구독,5100,3000,12900,2020-09-28
2f650386b9328ae8f44efcc8762495cf1f26aa8e69f157532b5f043644e0a413,구독,5100,3000,12900,2020-09-28
9cee2c8027a517c10446bf6da9fd95fc6b3f46838ad1315ad215b29ac9838a6a,구독,5100,3000,12900,2020-09-24
458046d4e2452edf27e9e1c036f979199ec0beb354fc33ca10b99066db4f7e78,구독,0,3000,18000,2020-09-28
bce45199e3e33c40ce7ca45c4e694efe9aee7d707ad3deb9e7a5091691c9479b,구독,5100,3000,12900,2020-09-27
0cb64918325daad160ce3c5bfe3e16f7bb281687b22337be88dc67e2b78edb89,구독,0,3000,18000,2020-10-06
2e2052b3a3460461da1e6641fd4e8ce578034f39f120bfbb012de47032e9c792,구독,0,3000,18000,2020-09-25
ab30e600882e036268a6c81cf60a0153e8b78ff299f11dafe6830790717392c5,구독,0,3000,18000,2020-09-26
ea7e3238f56638bea0a011547b319265a30a3eaf301bd7eb534e7be88c7cfd4e,구독,5100,3000,12900,2020-09-25
ba98ff06b3df83bbce0e5f6848af41c8248cb08bf122f2b7b07ebd50c8f9d518,구독,5100,3000,12900,2020-09-27
aae805b29495468e2dc8370ea3e0c21a77b7cbb2dee4f34d17a3dbc0fc9007ed,구독,5100,3000,12900,2020-09-24
7b8d65478c8651452626ae5b8ba56771f99c4efbdaddd266d9175fb96f53a653,구독,5100,3000,12900,2020-09-26
28e3519247eda44e282caaf002e218fde56e0f206a22ba0a150e9ccc8ca679b0,구독,5100,3000,12900,2020-09-28
c57d604003d15571117832e2bd3944d6d000f89b63e04fb90bb44be88e156a4c,구독,5100,3000,12900,2020-09-24
8b6a3bfb1c05a9bfc5e2e15b1eff90516b7c2693e9b80101aa0c9751a098d62f,구독,5100,3000,12900,2020-09-23
59ea1dba67daa9b8545fa862c30a886e995a112f6586555a7b53230b6f8f91d2,구독,5100,3000,12900,2020-09-25
62d9650f59593012a3f433eaa4f5e60cb135fc77f5c3350fa4f9c884582bdd66,구독,5100,3000,12900,2020-09-25
a41fac93126c9c2eb04ccfb91cb8f6cfa19d15bab1d0f2e928b7724c560f9156,구독,0,3000,18000,2020-09-28
3e285fc22016d74b3bd4249246e29f8cef8b81581892f90a533e35eb102a0b35,구독,5100,3000,12900,2020-09-28
e331e34224283e45637a607a50589a8de347afb816a3e5407b685f4552fb2de9,구독,5100,3000,12900,2020-09-26
37be2b2733c085e49f4279ea22f5b1afef334f0daefea2a3174a6b2efc8aefe1,구독,5100,3000,12900,2020-09-26
cf8b92a3aae286181cb560884208c76cbffd2474d844720f83c0c607cbc6786c,구독,5100,3000,12900,2020-09-23
dad8b15e0fd926074ae8b35a10b5f1ae236290c34d4522f3be7b113a56e29947,구독,5100,3000,12900,2020-10-05
4206e3af4fdc2b17d788977df10ad6c95fc660637e5b5bbb0bfbe7de52846113,구독,5100,3000,12900,2020-10-09
c184a0974f070bc014559c2525e2d6705e5913c59628f74f118582837fc2b346,구독,5100,3000,12900,2020-10-09
cfd970de3d68dccc54046fa994b1851cdda158e842503c878b270397a9c0c8c8,구독,5100,3000,12900,2020-10-10
29044ed6b39693c8c4549c0906cca8bd2f24dbfb157fb4a97471716690c4f9ab,구독,5100,3000,12900,2020-10-09
83894a1276da3abff83cddcd6389c3a4cc5a081e1fc84ad9eed1ea05708fc8d7,구독,0,3000,18000,2020-09-30
55ba103473125c9858218c393724b4fc48f7f7d88dcb1fc7c1e219e498490696,구독,5100,3000,12900,2020-10-09
a39e4c30ed11af581f3518f7c22b0c2a0af8f0b26483f5b588213408532d38bd,구독,5100,3000,12900,2020-10-10
830a8de25add1a2627835f860eba09d6378793c8a701d5ae22eb07f7e819029f,구독,5100,3000,12900,2020-10-11
9b16f347e779f78c9a179c52cbcf2d4f2a51ef0b3b02195a7875d1916f732d28,구독,5100,3000,12900,2020-10-11
e96ec120ec3093dd517ab0bf3423fa8a6aa5d0d128a2014255df941fa7079dab,구독,5100,3000,12900,2020-10-11
7edeb46375328e88d7e82a64ece9e2913b5ec35dd8b236251b4e8011954cc101,구독,0,3000,18000,2020-10-11
edf9c09cd1e0a6555ad99370130af1e20379a18b64c860c620eacfa7e050db8c,구독,5100,3000,12900,2020-10-09
95ed721376a7d89b0aa59dc1119b5c280ae6cc0c5df2679635bbb1f8a6e8a7ca,구독,0,3000,18000,2020-10-11
348362f79e213b186b4c5a6573c35e61955468d97da4a78b0a69ebe1f5859c9a,구독,5100,3000,12900,2020-10-09
84aae52fd065cc133db467c764ccfafefb5e54c4f4419ed542b57b79cb5ee419,구독,5100,3000,12900,2020-09-27
8057c2907d342c78fa90ebf14b52bc0e35a89a068db93c9bfaded357ea049ed5,구독,0,3000,18000,2020-09-30
ea7a65cc7edac70d2579345e54df0de53434aa2a3c31f22b50863abcda71f549,구독,0,3000,18000,2020-10-11
e7b8cca6333041ead282d111269804c1fe5b51826b1f4f67c293c9fe1f4dfab3,구독,5100,3000,12900,2020-09-30
ec87a93a4850fa839062090e350718bfb3d1d5720e251efc0a80c0027ae9e6ff,구독,5100,3000,12900,2020-10-09
f592da9f47c2e2812b66f47c4d390b017e8fbf1286dcbd9f20e687430d0b302f,구독,5100,3000,12900,2020-09-27
dc4dabdfa6aa678522b711406f338c78ebbb48eea50c82b0323badc340fc5de0,구독,5100,3000,12900,2020-10-11
43350454792ac0cb57986ae6c6dee5512b542079f088f51de531f90f180dd6c3,구독,0,3000,18000,2020-10-11
8c0686ee30ba19e4344cc08881abe9cc560a2a63c84a03a296b15a0f080461e0,구독,0,3000,18000,2020-10-11
13d52fbbd2a307ff3b00792bc370c001204087f988e05f990dd89ddbb6a4a21e,구독,0,3000,18000,2020-10-05
47351589fcd63f30bdd3a32d066da4464288fa7702e69cbb702fc7333bcb0d5b,구독,0,3000,18000,2020-10-11
3704da23ccc580e694eb13540cf49556b5bd203ac1fc6754e2121fe3855d48c4,구독,5100,3000,12900,2020-09-30
6d8ad633a6185952cd32360089d0551f97205a89e5d4aaf9ec613424e9b2eacd,구독,0,3000,18000,2020-10-11
9762cca3a24212c3034a99ab1f69278d348ab2940fdc91755db32307f8c7d0ff,구독,5100,3000,12900,2020-09-28
595b70ccac9e42e1013b7afe1e9911d1a4390d2f24a566d449c3ee022f9ecb58,구독,5100,3000,12900,2020-10-04
f5fc6b351d013d6e62e9bf2fce10c18e645ca24587719f615642992037b52d9a,구독,5100,3000,12900,2020-10-01
7ff929eb095b733e7e30842ef5a16873e9825bc6274fc360d2acc6ce0fa9f562,구독,5100,3000,12900,2020-09-29
950206ade506d0bdaa0ac05352b65dfa79cabb78017bf556c64ab6a68fe50fd8,구독,5100,3000,12900,2020-09-27
0fd7906c641964739f9d6398697dd7b8ceba8d57f4d159f161cca841adbd1248,구독,0,3000,18000,2020-09-29
5ea82edc8c1e3bb258dce18281cc04ac66e274508b64e5fe3d679f742d5b9d02,구독,5100,3000,12900,2020-10-01
7c7b077d39d2c03c344ef18218aa4396273c4f9bbb7d0fef422ff0f961e7ee23,구독,5100,3000,12900,2020-10-04
5f142fe7efe7e7699573babc6878035a396f5f81a4b7afaad866e78136d56d7a,구독,5100,3000,12900,2020-09-29
e7c11553e0e20ba6e92e93f866628ce4bdd17096505b65e9e2a4046d0acaa2fb,구독,5100,3000,12900,2020-10-02
417694917e4caa218d0ca8d4370b23422de43b96600ffd0ff4b398b160376026,구독,5100,3000,12900,2020-10-03
157e4da78b2d2af5fe90054a4a5f270168e0a338fdabdb8c27f55a082f900d11,구독,0,3000,18000,2020-10-02
737c84f21099a24b9668bae15259d033ee519df2cb7cd6caeef5f8db61bfac8d,구독,0,3000,18000,2020-10-01
3f1d079f735234a946f9b905ac70c5690696f4b2208233210c6a1a54a643a5f5,구독,0,3000,18000,2020-10-27
d7b735b43ed31bda8b0f5fd81ac65d5064862bc0aa79e2d0f71fccf28e83d8be,구독,5100,3000,12900,2020-10-27
0eb9e1e21fe1afe97057103ba8e330c04f3297e4868ba08631c8b5815fdcc6bf,구독,0,3000,18000,2020-10-25
fa87e70af004f748e2b13d31e7a72e914bb7add7337d701220308b1ed38b3d85,구독,5100,3000,12900,2020-10-28
833088516995be1283c9e00003bcad48628425ffe08ce6a8835cc813fd2955dd,구독,0,3000,18000,2020-10-31
44797dd7ae7a3f737119f03cb171dd33088c99182bc01c3ffa9de90de451659c,구독,0,3000,18000,2020-10-27
9f66d580bfa0b3e8f334576846e59f2358ff03e2c7d17f2d758c792a05498246,구독,0,3000,18000,2020-10-23
e85133c77089a418778a92aad2b5eb7d235b16dae70116da2bd4404378041ee7,구독,5100,3000,12900,2020-10-22
b6861379ca2d4cf99e7c06612d8e54fa6740fdf0b5d13ebcf89486b9a25cb7ff,구독,5100,3000,12900,2020-10-27
9322cced4e81e3517ff70dcb722b2b5884ab2ee42cdde5702c32a7cec49a0cca,구독,0,3000,18000,2020-10-24
432de5b6bf46f0465e83aa5fae3f41ec62cbdafa26764a5082bdae73e0ddef6a,구독,5100,3000,12900,2020-10-27
436dce9f0b9f01a86a9bc59a8edc9e2f8a9f834724e4a3bdd9c7fd8800637350,구독,5100,3000,12900,2020-10-26
5e3180fd3db75d7c48d57d07d399aea2f2e0567b3ec87b4bff00c65d8f974a32,구독,0,3000,18000,2020-10-26
d11b6576aa8b4821eda4dc27728789a9f21eb317efbba30225a4f3389ffaba56,구독,0,3000,18000,2020-10-26
ff6f4390c75db3496cd837c1590f7778b806b0f209a5c1f48cff893c8dadede2,구독,5100,3000,12900,2020-10-24
